ZW7ICWEB,"Party",160710,IWZ9ZZC6,IWZ9Z08W; IWZ9Z09O,2015-12-04 23:27:03
ZW6CIZ69,"Yêu Em Là Định Mệnh",12279985,IWZ9Z09D,IWZ9Z08I; IWZ9Z088,2015-12-04 23:27:15
ZWZBDD09,"Yêu Đơn Phương",15368026,IWZ97Z8D,IWZ9Z08I; IWZ9Z088,2015-12-04 23:27:16
ZW6CIC0E,"Vô Hậu",6365425,IWZAIIUC,IWZ9Z08I; IWZ9Z088,2015-12-04 23:27:17
ZWZDEE0C,"Trách Ai Vô Tình",15505458,IWZ98IZ8,IWZ9Z08I; IWZ9Z088; IWZ9Z08B,2015-12-04 23:27:18
ZWZB98CC,"Tình Yêu Trong Sáng",5568100,IWZ9ZO7U; IWZ97Z8D,IWZ9Z08I; IWZ9Z088,2015-12-04 23:27:19
ZW607CCF,"Quên Cách Yêu",37634778,IWZ9ZI7W,IWZ9Z08I; IWZ9Z088,2015-12-04 23:27:20
ZW6BUA0A,"Nước Mắt Không Màu",5268654,IWZ990I9,IWZ9Z08I; IWZ9Z088,2015-12-04 23:27:22
ZW6WEZ0A,"Nơi Ấy Con Tìm Về",3143653,IWZ98O7W,IWZ9Z08I; IWZ9Z088,2015-12-04 23:27:22
ZW68FU0A,"Nợ Nhau Một Tình Yêu",5392622,IWZ968UO; IWZ9CD8B,IWZ9Z08I; IWZ9Z088,2015-12-04 23:27:24
ZWZC7FFA,"Nếu Như Anh Đến",28466629,IWZ96C8U,IWZ9Z08I; IWZ9Z088,2015-12-04 23:27:24
ZW67A09F,"Nắng Ấm Xa Dần",105859757,IWZ97DB0,IWZ9Z08I; IWZ9Z088; IWZ9Z089,2015-12-04 23:27:25
ZW6A796B,"Mình Yêu Nhau Đi",87687766,IWZ96C86,IWZ9Z08I; IWZ9Z088,2015-12-04 23:27:26
ZW6BOW99,"Lạc Đường",29982141,IWZ9ZECF,IWZ9Z08I; IWZ9Z088,2015-12-04 23:27:27
ZW6ZWIOC,"Học Cách Đi Một Mình",29430337,IWZ9ZI7W,IWZ9Z08I; IWZ9Z088,2015-12-04 23:27:27
ZWZCEIOE,"Hóa Cơn Mưa",1455226,IWZ9ZCE7,IWZ9Z08I; IWZ9Z088,2015-12-04 23:27:28
ZW69OOFZ,"Giúp Anh Trả Lời Những Câu Hỏi",44318520,IWZ9FE6A,IWZ9Z08I; IWZ9Z088,2015-12-04 23:27:29
ZW69BZOF,"Em Của Ngày Hôm Qua",192408404,IWZ97DB0,IWZ9Z08I; IWZ9Z088,2015-12-04 23:27:30
ZW67EZCI,"Đứt Từng Đọan Ruột",14517130,IWZ9ZI7W,IWZ9Z08I; IWZ9Z08D,2015-12-04 23:27:30
ZW696EO9,"Con Bướm Xuân",4087189,IWZ9ZW66,IWZ9Z08I; IWZ9Z088; IWZ9Z0CW,2015-12-04 23:27:31
ZW6BCBIE,"Có Anh Ở Đây Rồi",67846352,IWZ9CO86,IWZ9Z08I; IWZ9Z088,2015-12-04 23:27:32
ZW6BFZUA,"Bốn Chữ Lắm",35284533,IWZ99A86; IWZ9EDAE,IWZ9Z08I; IWZ9Z088,2015-12-04 23:27:33
ZW67D7I0,"Anh Muốn Em Sống Sao",50010586,IWZ99B00,IWZ9Z08I; IWZ9Z088,2015-12-04 23:27:34
ZW6AC6OO,"Anh Muốn Chia Tay Phải Không",21467633,IWZ9ZI7W,IWZ9Z08I; IWZ9Z088,2015-12-04 23:27:34
ZW7I0ZWA,"Cô Bé Ngày Xưa",14428887,IWZ97D7C,IWZ9Z08I; IWZ9Z08B,2015-12-04 23:27:43
ZWZDZU89,"Nếu Hai Đứa Mình",213062,IWZ9ZOE6,IWZ9Z08I; IWZ9Z08D,2015-12-04 23:27:44
ZWZ97WUW,"Đừng Nhắc Chuyện Lòng",1314428,IWZ9ZOBC,IWZ9Z08I; IWZ9Z08D,2015-12-04 23:27:45
ZW66DO76,"Hạ Buồn",78116,IWZ9DUBF,IWZ9Z08I; IWZ9Z08D,2015-12-04 23:27:45
ZWZ96OZF,"Lạnh Trọn Đêm Mưa",138368,IWZ9ZWA7,IWZ9Z08B; IWZ9Z08I,2015-12-04 23:27:46
ZW6UBUWA,"Nhật Ký Đời Tôi",1638244,IWZ9ZIEE,IWZ9Z08I; IWZ9Z08B,2015-12-04 23:27:47
ZWZ986I8,"LK Làm Dâu Xứ Lạ & Năm 17 Tuổi",496143,IWZ9ZWA7; IWZ9D9BE,IWZ9Z08I; IWZ9Z08D,2015-12-04 23:27:48
ZWZ97I9I,"Trai Tài Gái Sắc",4066384,IWZ9Z0F0; IWZ9ZOUE,IWZ9Z08I; IWZ9Z08B,2015-12-04 23:27:49
ZWZ978WI,"Qua Cầu Gió Bay",90024,IWZ9ZUII; IWZ9ZWA7,IWZ9Z08B; IWZ9Z08I; IWZ9Z08D,2015-12-04 23:27:50
ZWZ98Z0O,"Mưa Đêm Tỉnh Nhỏ",6929641,IWZ9ZOBC,IWZ9Z08I; IWZ9Z08B,2015-12-04 23:27:50
ZWZDZO7U,"Chuyện Hợp Tan",33984,IWZ9ZWUO,IWZ9Z08I; IWZ9Z08B,2015-12-04 23:27:51
ZW6UZBU7,"Ở Hai Đầu Nổi Nhớ",24026,IWZ9ZIBU,IWZ9Z08B; IWZ9Z08I,2015-12-04 23:27:55
ZWZAC68C,"Đau Xót Lý Chim Quyên",81893,IWZ9ZO6F,IWZ9Z08I; IWZ9Z08B,2015-12-04 23:27:56
ZWZB9FDE,"Chuyện Ba Mùa Mưa",4742848,IWZ9ZOBC,IWZ9Z08I; IWZ9Z08B,2015-12-04 23:27:56
ZW60DAZZ,"Dấu Chân Kỷ Niệm",4206,IWZ97CD7,IWZ9Z08I; IWZ9Z08B,2015-12-04 23:27:57
ZW6UDF88,"Bông Bí Vàng",4851,IWZ9Z977,IWZ9Z08B; IWZ9Z08I,2015-12-04 23:27:58
ZWZ9696A,"Ngày Vui Hai Đứa",34045,IWZ9ZWA7; IWZ9ZWUO,IWZ9Z08I; IWZ9Z08D,2015-12-04 23:27:59
ZWZ969O9,"Nỗi Buồn Gác Trọ",36177,IWZ9ZO6F,IWZ9Z08I; IWZ9Z08B,2015-12-04 23:27:59
ZWZAIBI8,"Nỗi Buồn Hoa Phượng",497369,IWZ9Z0F0,IWZ9Z08B; IWZ9Z08I,2015-12-04 23:28:00
ZWZABA9W,"Liên Khúc : Nghèo",5670805,IWZ9ZIEE; IWZ9ZWUO; IWZ9ZUII,IWZ9Z08I; IWZ9Z08B,2015-12-04 23:28:01
ZWZFEFFU,"Hai Chuyến Tàu Đêm",7530273,IWZ9ZOBC,IWZ9Z08I; IWZ9Z08B,2015-12-04 23:28:01
ZWZ96967,"Mười Hai Bến Nước",73165,IWZ9ZWA7; IWZ9ZWUO,IWZ9Z08I; IWZ9Z08D,2015-12-04 23:28:02
ZWZ978ID,"Hữu Duyên Thiên Lý Ngộ",93415,IWZ9ZUII,IWZ9Z08B; IWZ9Z08I,2015-12-04 23:28:02
ZWZ97I7F,"Tiếng Thạch Sùng",3495128,IWZ9Z0F0,IWZ9Z08I; IWZ9Z088,2015-12-04 23:28:03
ZWZDW8OZ,"Sầu Đông",473494,IWZ9ZWAW,IWZ9Z08B; IWZ9Z08I,2015-12-04 23:28:04
ZW6E7FEO,"Sương Lạnh Chiều Đông",85203,IWZ9ZO6F,IWZ9Z08I; IWZ9Z08B,2015-12-04 23:28:04
ZW66DO7A,"Hương Tóc Mạ Non",192549,IWZ9ZOEI; IWZ9ZOBC,IWZ9Z08I; IWZ9Z08D,2015-12-04 23:28:05
ZW66D0FC,"Chuyến Xe Lam Chiều",54189,IWZ9DUBF,IWZ9Z08I; IWZ9Z08B,2015-12-04 23:28:06
ZWZAIDC8,"Hờn Trách Con Đò",5712064,IWZ9ZOZA,IWZ9Z08B; IWZ9Z08I,2015-12-04 23:28:07
ZWZ98ZFB,"Không Phải Tại Chúng Mình",374424,IWZ9ZWA7; IWZ9ZIEE,IWZ9Z08I; IWZ9Z08D,2015-12-04 23:28:07
ZWZ978IE,"Giăng Câu",133609,IWZ9ZUII; IWZ9ZUDU,IWZ9Z08B; IWZ9Z08I; IWZ9Z08D,2015-12-04 23:28:09
ZWZFF0I7,"Về Quê Ngoại",6718741,IWZ9ZOBC,IWZ9Z08I; IWZ9Z08B,2015-12-04 23:28:09
ZWZB90UZ,"Làm Dâu Xứ Lạ",950240,IWZ9Z0F0,IWZ9Z08I; IWZ9Z08B,2015-12-04 23:28:10
ZWZ969Z6,"Anh Hãy Về Đi",193635,IWZ9ZWA7; IWZ9ZWUO,IWZ9Z08I; IWZ9Z08D,2015-12-04 23:28:11
ZW6III9W,"Đừng Trách Em Tội Nghiệp",347074,IWZ9Z8OO,IWZ9Z08I; IWZ9Z08D,2015-12-04 23:28:12
ZWZ96W69,"Em Về Kẻo Trời Mưa",346295,IWZ9Z0EU,,2015-12-04 23:28:13
ZWZ9AUC7,"Phượng Buồn",2344878,IWZ9Z0F0,IWZ9Z08I; IWZ9Z08B,2015-12-04 23:28:13
