Id,Name
http://www.nhaccuatui.com/nghe-si-va.html,V.A
a4415cc0-9b7d-11e5-a738-001eecc1ca2a,Thanh Sử
http://www.nhaccuatui.com/nghe-si-le-quyen.html,Lệ Quyên
http://www.nhaccuatui.com/nghe-si-the-men.html,The Men
http://www.nhaccuatui.com/nghe-si-bang-cuong.html,Bằng Cường
http://www.nhaccuatui.com/nghe-si-le-hieu.html,Lê Hiếu
ad04c614-9b7d-11e5-baf4-001eecc1ca2a,Nam Khánh
http://www.nhaccuatui.com/nghe-si-cao-thai-son.html,Cao Thái Sơn
http://www.nhaccuatui.com/nghe-si-hien-thuc.html,Hiền Thục
http://www.nhaccuatui.com/nghe-si-minh-vuong-m4u.html,Minh Vương M4U
http://www.nhaccuatui.com/nghe-si-chuong-dan.html,Chương Đan
http://www.nhaccuatui.com/nghe-si-kiwi-ngo-mai-trang.html,Kiwi Ngô Mai Trang
http://www.nhaccuatui.com/nghe-si-vy-oanh.html,Vy Oanh
b31ed3b0-9b7d-11e5-b9ca-001eecc1ca2a,Anh Quốc
http://www.nhaccuatui.com/nghe-si-cao-my-kim.html,Cao Mỹ Kim
http://www.nhaccuatui.com/nghe-si-bui-anh-tuan.html,Bùi Anh Tuấn
http://www.nhaccuatui.com/nghe-si-bang-kieu.html,Bằng Kiều
http://www.nhaccuatui.com/nghe-si-hong-nhung.html,Hồng Nhung
http://www.nhaccuatui.com/nghe-si-dinh-ung-phi-truong.html,Đinh Ứng Phi Trường
http://www.nhaccuatui.com/nghe-si-duong-ngoc-dam.html,Dương Ngọc Đàm
http://www.nhaccuatui.com/nghe-si-vinh-thuyen-kim.html,Vĩnh Thuyên Kim
b8a6fc52-9b7d-11e5-b5f3-001eecc1ca2a,Hứa Thành Long
http://www.nhaccuatui.com/nghe-si-tuan-hung.html,Tuấn Hưng
b95ac2c0-9b7d-11e5-997d-001eecc1ca2a,Thảo Lê
http://www.nhaccuatui.com/nghe-si-chi-thien.html,Chí Thiện
http://www.nhaccuatui.com/nghe-si-nam-cuong.html,Nam Cường
http://www.nhaccuatui.com/nghe-si-thuy-tien.html,Thủy Tiên
http://www.nhaccuatui.com/nghe-si-vmusic.html,V.Music
http://www.nhaccuatui.com/nghe-si-ngo-kien-huy.html,Ngô Kiến Huy
http://www.nhaccuatui.com/nghe-si-quang-ha.html,Quang Hà
http://www.nhaccuatui.com/nghe-si-thanh-thao.html,Thanh Thảo
http://www.nhaccuatui.com/nghe-si-khanh-phuong.html,Khánh Phương
http://www.nhaccuatui.com/nghe-si-quang-dung.html,Quang Dũng
http://www.nhaccuatui.com/nghe-si-ho-ngoc-ha.html,Hồ Ngọc Hà
http://www.nhaccuatui.com/nghe-si-lam-nhat-tien.html,Lâm Nhật Tiến
http://www.nhaccuatui.com/nghe-si-hoa-mi.html,Hòa Mi
http://www.nhaccuatui.com/nghe-si-bao-thy.html,Bảo Thy
http://www.nhaccuatui.com/nghe-si-nguyen-hong-thuan.html,Nguyễn Hồng Thuận
http://www.nhaccuatui.com/nghe-si-truong-the-vinh.html,Trương Thế Vinh
http://www.nhaccuatui.com/nghe-si-ho-quynh-huong.html,Hồ Quỳnh Hương
c55ed480-9b7d-11e5-b605-001eecc1ca2a,X Band
c7292610-9b7d-11e5-b90f-001eecc1ca2a,Duy Khang
http://www.nhaccuatui.com/nghe-si-mi-tran.html,Mi Trần
http://www.nhaccuatui.com/nghe-si-dang-khoi.html,Đăng Khôi
http://www.nhaccuatui.com/nghe-si-minh-tuyet.html,Minh Tuyết
http://www.nhaccuatui.com/nghe-si-khac-viet.html,Khắc Việt
http://www.nhaccuatui.com/nghe-si-noo-phuoc-thinh.html,Noo Phước Thịnh
http://www.nhaccuatui.com/nghe-si-cuong_seven.html,Cường Seven
